"censusYear","zone","Channel Islands","UK part not specified","Irish Republic","China","South Africa","Africa other","Caribbean","South America","Other Middle East","Other East Asia","Other Europe","Rest of World","England","Scotland","Wales","Northern Ireland","Australia","Canada","New Zealand","Kenya","Zimbabwe","Nigeria","Bangladesh","India","Pakistan","Hong Kong","Malaysia","Singapore","France","Germany","Greece","Italy","Netherlands","Spain","Poland","Romania","Turkey","United States","Iran"
1991,"5912AF",0,0,19,8,1,4,0,4,1,0,2,10,250,5194,10,14,6,8,1,0,1,0,0,1,7,3,2,0,0,18,1,4,0,0,7,0,0,3,0
1991,"5912AG",0,0,11,1,7,1,3,0,0,0,6,5,333,8073,12,20,6,11,2,0,0,0,0,15,17,7,2,4,0,24,0,4,1,5,16,0,0,1,0
1991,"5912AH",1,0,15,0,5,4,1,0,1,1,2,4,213,5197,10,9,7,3,2,1,0,0,0,2,3,0,1,4,0,13,0,1,2,0,11,0,0,2,0
1991,"5912AJ",0,0,19,0,0,0,0,0,0,1,3,6,211,6065,15,19,2,6,0,0,0,0,0,3,11,1,0,5,1,11,1,3,2,0,10,0,0,0,0
1991,"5912AK",0,0,22,0,3,3,0,0,0,0,5,10,250,6653,12,21,4,9,0,1,0,0,1,2,1,9,0,2,0,10,0,13,2,0,8,0,0,3,0
1991,"5912AM",1,2,50,0,9,2,4,2,4,3,9,25,789,5977,30,55,14,9,1,2,1,0,0,13,3,3,0,9,2,19,1,8,0,0,3,0,1,9,0
1991,"5912AN",8,0,48,1,14,14,4,2,3,0,7,66,2636,10161,94,150,10,17,1,3,6,1,0,4,11,20,3,18,5,63,2,8,0,1,6,0,0,11,1
1991,"5912AP",3,0,14,2,2,6,3,1,2,1,2,9,528,2755,10,29,3,12,3,0,1,0,0,7,1,4,0,0,0,7,0,2,0,0,1,0,0,4,1
1991,"5912AQ",2,0,43,1,23,7,3,3,4,1,18,37,1257,13678,47,80,12,21,6,3,7,2,0,13,10,12,6,19,3,51,0,10,0,5,13,0,0,13,3
1991,"5912AR",9,1,48,7,21,15,6,1,10,6,33,46,2533,10389,131,112,10,15,2,4,5,5,0,22,32,31,5,21,5,56,4,6,2,2,8,0,1,29,1
1991,"5912AS",1,0,15,4,2,10,2,1,3,1,12,7,631,4392,35,41,4,14,0,2,0,2,0,17,5,18,2,6,2,20,0,4,4,0,7,0,1,9,1
1991,"5912AT",5,0,25,0,5,12,3,0,3,2,9,21,1164,8957,52,65,11,11,2,5,0,1,10,12,8,5,5,11,1,33,1,6,3,2,12,0,0,5,2
1991,"5912AU",0,0,31,0,5,9,4,2,3,3,9,19,1089,9756,54,49,20,5,5,4,2,1,2,15,8,5,1,8,0,27,0,7,2,2,11,0,2,6,0
