"Zone Code","UV0280002","UV0280012"
"00NEPW0002",176,8
"00NEPW0003",159,11
"00NEPW0004",139,6
"00NEPW0005",111,5
"00NEPW0006",90,14
"00NEPX0001",141,6
"00NEPX0002",148,7
"00NEPX0003",135,11
"00NEPX0004",83,10
"00NEPX0005",148,6
"00NEPX0006",111,5
"00NEPX0007",47,4
"00NEPX0008",83,5
"00NEPX0009",155,7
"00NEPX0010",143,7
"00NEPX0011",112,10
"00NEPX0012",156,5
"00NEPX0013",87,7
"00NEPY0001",163,10
"00NEPY0002",145,9
"00NEPY0003",167,9
"00NEPY0004",128,11
"00NEPY0005",118,4
"00NEPY0006",122,6
"00NEPZ0001",157,8
"00NEPZ0002",139,11
"00NEPZ0003",132,13
"00NEPZ0004",135,12
"00NEPZ0005",117,7
"00NEPZ0006",154,10
"00NEPZ0007",124,15
"00NEPZ0008",102,9
"00NEQA0001",133,4
"00NEQA0002",139,4
"00NEQA0003",132,6
"00NEQA0004",100,3
"00NEQA0005",86,5
"00NEQA0006",111,3
"00NEQA0007",135,5
"00NEQA0008",118,4
"00NEQA0009",106,9
"00NEQA0010",113,5
"00NEQA0011",150,9
"00NEQA0012",197,3
"00NEQA0013",108,4
"00NEQA0014",131,5
"00NEQA0015",148,3
"00NEQA0016",63,4
"00NEQA0017",42,3
"00NEQB0001",165,3
"00NEQB0002",148,4
"00NEQB0003",162,5
"00NEQB0004",157,8
"00NEQB0005",146,5
"00NEQB0006",177,12
"00NEQB0007",106,16
"00NEQB0008",121,7
"00NEQB0009",140,3
"00NEQC0001",112,3
"00NEQC0002",151,3
"00NEQC0003",129,12
"00NEQC0004",79,3
"00NEQC0005",124,7
"00NEQC0006",79,5
"00NEQC0007",116,12
"00NEQC0008",67,5
"00NEQC0009",111,4
"00NEQC0010",110,19
"00NEQC0011",147,8
"00NEQC0012",115,12
"00NEQD0001",155,5
"00NEQD0002",57,6
"00NEQD0003",105,3
"00NEQD0004",127,7
"00NEQD0005",136,12
"00NEQD0006",180,3
"00NEQD0007",118,11
"00NEQD0008",94,22
"00NEQD0009",71,3
"00NEQD0010",25,0
"00NEQD0011",163,4
"00NEQD0012",74,18
"00NEQD0013",149,6
"00NEQD0014",163,0
"00NEQD0015",153,0
"00NEQD0016",200,13
"00NEQD0017",151,7
"00NEQD0018",145,4
"00NEQD0019",161,6
"00NEQE0001",125,4
"00NEQE0002",127,16
"00NEQE0003",36,5
"00NEQE0004",146,13
"00NEQE0005",69,5
"00NEQE0006",85,6
"00NEQE0007",114,6
"00NEQE0008",106,7
"00NEQF0001",187,12
"00NEQF0002",103,4
"00NEQF0003",190,9
"00NEQF0004",166,21
"00NEQG0001",84,15
"00NEQG0002",139,14
"00NEQG0003",73,10
"00NEQG0004",95,12
"00NEQG0005",120,17
"00NEQG0006",108,23
"00NEQG0007",125,4
"00NEQG0008",109,10
"00NEQG0009",105,7
"00NEQG0010",81,6
"00NEQG0011",141,5
"00NEQG0012",155,22
"00NEQG0013",147,13
"00NEQG0014",119,7
"00NEQG0015",71,3
"00NEQG0016",122,11
"00NEQG0017",100,5
"00NEQH0001",181,3
"00NEQH0002",184,7
"00NEQH0003",155,18
"00NEQH0004",156,21
"00NEQH0005",118,3
"00NEQJ0001",204,7
"00NEQJ0002",118,3
"00NEQJ0003",113,8
"00NEQJ0004",140,10
"00NEQJ0005",98,4
"00NGNK0001",130,8
"00NGNK0002",159,0
"00NGNK0003",93,0
"00NGNK0004",119,17
"00NGNK0005",125,4
"00NGNK0006",100,4
"00NGNK0007",61,3
"00NGNK0008",163,10
"00NGNK0009",82,7
"00NGNL0001",118,7
"00NGNL0002",106,9
"00NGNL0003",166,7
"00NGNL0004",128,17
"00NGNL0005",115,7
"00NGNL0006",167,8
"00NGNL0007",170,7
"00NGNL0008",176,10
"00NGNM0001",106,4
"00NGNM0002",149,4
"00NGNM0003",164,9
"00NGNM0004",127,10
"00NGNM0005",164,8
"00NGNM0006",161,6
"00NGNM0007",113,9
"00NGNN0001",208,0
"00NGNN0002",122,0
"00NGNN0003",150,5
"00NGNN0004",218,4
"00NGNN0005",164,5
"00NGNN0006",206,0
"00NGNN0007",111,4
"00NGNN0008",131,5
"00NGNN0009",114,5
"00NGNN0010",152,4
"00NGNN0011",173,3
"00NGNN0012",117,3
"00NGNN0013",128,3
"00NGNN0014",155,3
"00NGNP0001",110,18
"00NGNP0002",93,6
"00NGNP0003",144,9
"00NGNP0004",134,9
"00NGNP0005",126,7
"00NGNP0006",131,4
"00NGNP0007",170,14
"00NGNP0008",99,8
"00NGNP0009",127,6
"00NGNP0010",127,3
"00NGNP0011",106,7
"00NGNQ0001",133,6
"00NGNQ0002",170,6
"00NGNQ0003",161,10
"00NGNQ0004",75,10
"00NGNQ0005",153,7
"00NGNQ0006",190,9
"00NGNQ0007",149,0
"00NGNQ0008",173,8
