"Zone Code","UV0280002","UV0280012"
"60QA000927",28,5
"60QA000928",49,0
"60QA000929",11,0
"60QA000930",83,4
"60QA000931",36,3
"60QA000932",82,5
"60QA000933",60,2
"60QA000934",51,2
"60QA000935",49,5
"60QA000936",77,5
"60QA000937",23,0
"60QA000938",67,0
"60QA000939",125,5
"60QA000940",5,0
"60QA000941",79,2
"60QA000942",83,4
"60QA000943",54,2
"60QA000944",63,3
"60QA000945",58,3
"60QA000946",19,1
"60QA000947",38,3
"60QA000948",10,0
"60QA000949",91,9
"60QA000950",88,3
"60QA000951",67,2
"60QA000952",50,5
"60QA000953",40,1
"60QA000954",55,0
"60QA000955",73,5
"60QA000956",45,2
"60QA000957",51,2
"60QA000958",51,1
"60QA000959",62,1
"60QA000960",56,1
"60QA000961",53,1
"60QA000962",71,4
"60QA000963",49,2
"60QA000964",52,3
"60QA000965",1,0
"60QA000966",37,7
"60QA000967",34,3
"60QA000968",46,2
"60QA000969",55,1
"60QA000970",35,1
"60QA000971",43,1
"60QA000972",58,1
"60QA000973",63,2
"60QA000974",38,2
"60QA000975",71,3
"60QA000976",105,7
"60QA000977",92,1
"60QA000978",38,3
"60QA000979",19,0
"60QA000980",49,1
"60QA000981",66,2
"60QA000982",49,0
"60QA000983",44,1
"60QA000984",32,0
"60QA000985",54,2
"60QA000986",49,3
"60QA000987",68,1
"60QA000988",29,2
"60QA000989",23,2
"60QA000990",95,5
"60QA000991",36,1
"60QA000992",44,2
"60QA000993",52,4
"60QA000994",72,2
"60QA000995",60,2
"60QA000996",56,5
"60QA000997",71,2
"60QA000998",41,1
"60QA000999",48,6
"60QA001000",66,4
"60QA001001",70,2
"60QA001002",55,3
"60QA001003",95,8
"60QA001004",68,3
"60QA001005",29,3
"60QA001006",75,3
"60QA001007",75,5
"60QA001008",52,3
"60QA001009",62,3
"60QA001010",50,5
"60QA001011",42,2
"60QA001012",44,9
"60QA001013",66,7
"60QA001014",65,4
"60QA001015",51,5
"60QA001016",59,2
"60QA001017",70,7
"60QA001018",38,4
"60QA001019",71,6
"60QA001020",54,2
"60QA001021",52,3
"60QA001022",68,6
"60QA001023",33,1
"60QA001024",22,1
"60QA001025",49,9
"60QA001026",54,12
"60QA001027",69,13
"60QA001028",14,2
"60QA001029",48,12
"60QA001030",65,11
"60QA001031",49,3
"60QA001032",38,2
"60QA001033",43,5
"60QA001034",51,2
"60QA001035",53,2
"60QA001036",73,10
"60QA001037",4,0
"60QA001038",65,1
"60QA001039",72,6
"60QA001040",63,4
"60QA001041",40,2
"60QA001042",41,1
"60QA001043",86,6
"60QA001044",26,2
"60QA001045",29,4
"60QA001046",78,4
"60QA001047",60,2
"60QA001048",74,5
"60QA001049",133,7
"60QA001050",95,0
"60QA001051",111,1
"60QA001052",91,1
"60QA001053",81,1
"60QA001054",100,2
"60QA001055",73,0
"60QA001056",72,2
"60QA001057",95,1
"60QA001058",94,0
"60QA001059",68,2
"60QA001060",74,0
"60QA001061",59,4
"60QA001062",48,3
"60QA001063",98,4
"60QA001064",81,2
"60QA001065",77,2
"60QA001066",60,4
"60QA001067",57,4
"60QA001068",54,5
"60QA001069",37,0
"60QA001070",125,5
"60QA001071",38,1
"60QA001072",19,0
"60QA001073",89,0
"60QA001074",108,3
"60QA001075",64,2
"60QA001076",53,3
"60QA001077",39,1
"60QA001078",90,2
"60QA001079",117,3
"60QA001080",123,0
"60QA001081",83,1
"60QA001082",54,1
"60QA001083",75,4
"60QA001084",53,1
"60QA001085",106,3
"60QA001086",95,1
"60QA001087",114,2
"60QA001088",87,2
"60QA001089",112,1
"60QA001090",51,2
"60QA001091",143,1
"60QA001092",71,0
"60QA001093",90,1
"60QA001094",64,0
"60QA001095",108,2
"60QA001096",95,1
"60QA001097",131,5
"60QA001098",161,2
"60QA001099",120,2
"60QA001100",149,2
"60QA001101",93,3
"60QA001102",84,2
"60QA001103",43,1
"60QA001104",7,0
"60QA001105",53,5
"60QA001106",97,1
"60QA001107",76,5
"60QA001108",95,1
"60QA001109",75,0
"60QA001110",109,2
"60QA001111",101,4
"60QA001112",134,5
"60QA001113",93,2
"60QA001114",94,1
"60QA001115",95,3
"60QA001116",83,3
"60QA001117",85,1
"60QA001118",95,0
"60QA001119",86,2
"60QA001120",53,2
"60QA001121",48,3
"60QA001122",51,0
"60QA001123",50,3
"60QA001124",68,1
"60QA001125",31,2
"60QA001126",44,1
"60QA001127",44,3
"60QA001128",83,3
"60QA001129",37,2
"60QA001130",35,1
"60QA001131",67,3
"60QA001132",63,1
"60QA001133",68,2
"60QA001134",59,1
"60QA001135",82,5
"60QA001136",56,1
"60QA001137",54,0
"60QA001138",51,2
"60QA001139",47,1
"60QA001140",70,5
"60QA001141",50,3
"60QA001142",102,0
"60QA001143",77,7
"60QA001144",63,1
"60QA001145",75,1
"60QA001146",55,2
"60QA001147",54,2
"60QA001148",56,2
"60QA001149",114,1
"60QA001150",78,1
"60QA001151",87,2
"60QA001152",77,3
"60QA001153",33,0
"60QA001154",65,3
"60QA001155",71,0
"60QA001156",51,3
"60QA001157",79,6
"60QA001158",54,2
"60QA001159",84,0
"60QA001160",103,2
"60QA001161",61,0
"60QA001162",55,1
"60QA001163",49,2
"60QA001164",69,0
"60QA001165",52,2
"60QA001166",65,0
"60QA001167",72,1
"60QA001168",53,4
"60QA001169",59,2
"60QA001170",48,3
"60QA001171",78,0
"60QA001172",54,2
"60QA001173",61,1
"60QA001174",69,0
"60QA001175",52,2
"60QA001176",55,0
"60QA001177",36,0
"60QA001178",80,0
"60QA001179",52,1
"60QA001180",58,0
"60QA001181",38,1
"60QA001182",46,1
"60QA001183",58,2
"60QA001184",63,2
"60QA001185",68,1
"60QA001186",63,1
"60QA001187",62,0
"60QA001188",28,1
"60QA001189",30,0
"60QA001190",62,1
"60QA001191",86,4
"60QA001192",62,0
"60QA001193",75,2
"60QA001194",71,0
"60QA001195",61,1
"60QA001196",85,1
"60QA001197",97,2
"60QA001198",88,6
"60QA001199",103,2
"60QA001200",116,3
"60QA001201",131,5
"60QA001202",132,2
"60QA001203",126,6
"60QA001204",119,2
"60QA001205",60,2
"60QA001206",75,3
