Zone ID,Zone name,l080001,l080020,l080115,l080134,l080172
01AMFQ,St.Mary's                       ,4216,2322,54,450,1894
01AMFR,St.Peter's                      ,7827,4689,74,985,3138
01AMFS,Shadwell                        ,7173,4204,63,931,2969
01AMFT,Spitalfields                    ,5782,2902,93,961,2880
01AMFU,Weavers                         ,7252,3929,58,978,3323
01AMSS,Shipping                        ,0,0,0,0,0
01ANFA,Balham                          ,9757,7083,46,705,2674
01ANFB,Bedford                         ,11022,7665,87,949,3357
01ANFC,Earlsfield                      ,7008,4843,37,606,2165
01ANFD,East Putney                     ,11178,7461,55,636,3717
01ANFE,Fairfield                       ,6256,4530,31,513,1726
01ANFF,Furzedown                       ,11479,7556,74,913,3923
01ANFG,Graveney                        ,11092,7648,79,1033,3444
01ANFH,Latchmere                       ,8759,5473,85,1029,3286
01ANFJ,Nightingale                     ,10173,6880,55,659,3293
01ANFK,Northcote                       ,9520,6906,28,623,2614
01ANFL,Parkside                        ,6369,4029,46,425,2340
01ANFM,Queenstown                      ,7091,4897,53,749,2194
01ANFN,Roehampton                      ,9499,5029,46,794,4470
01ANFP,St.John                         ,10086,7050,75,967,3036
01ANFQ,St.Mary's Park                  ,9770,6800,58,898,2970
01ANFR,Shaftesbury                     ,10919,7748,57,834,3171
01ANFS,Southfield                      ,10827,7534,41,650,3293
01ANFT,Springfield                     ,11527,7300,75,656,4227
01ANFU,Thamesfield                     ,10577,7246,28,577,3331
01ANFW,Tooting                         ,11150,7469,117,1040,3681
01ANFX,West Hill                       ,6800,4118,29,466,2682
01ANFY,West Putney                     ,10738,6132,43,594,4606
01ANSS,Shipping                        ,0,0,0,0,0
01APFA,Baker Street                    ,4102,2660,35,235,1442
01APFB,Bayswater                       ,8285,5183,71,712,3102
01APFC,Belgrave                        ,5075,3280,21,202,1795
01APFD,Bryanston                       ,4411,2607,50,279,1804
01APFE,Cavendish                       ,6214,4205,42,339,2009
01APFF,Churchill                       ,7528,4464,47,480,3064
01APFG,Church Street                   ,7958,4456,71,719,3502
01APFH,Hamilton Terrace                ,4961,2931,30,248,2030
01APFJ,Harrow Road                     ,9474,6416,92,1021,3058
01APFK,Hyde Park                       ,7273,4168,80,568,3105
01APFL,Knightsbridge                   ,4258,2446,20,151,1812
01APFM,Lancaster Gate                  ,9093,6168,120,873,2925
01APFN,Little Venice                   ,7600,5144,62,644,2456
01APFP,Lords                           ,5488,2909,29,237,2579
01APFQ,Maida Vale                      ,7175,4640,51,519,2535
01APFR,Millbank                        ,6131,3779,64,392,2352
01APFS,Queen's Park                    ,7793,4669,76,852,3124
01APFT,Regent's Park                   ,8433,4711,37,396,3722
01APFU,St.George's                     ,8347,5951,71,621,2396
01APFW,St.James'                       ,3541,2571,25,243,970
01APFX,Victoria                        ,4107,2768,26,334,1339
01APFY,Westbourne                      ,8399,5239,73,767,3160
01APFZ,West End                        ,5445,3615,28,376,1830
01APSS,Shipping                        ,0,0,0,0,0
02AQFA,Abbey                           ,7318,4510,61,734,2808
02AQFB,Alibon                          ,4519,2519,25,334,2000
02AQFC,Cambell                         ,7074,4251,37,498,2823
02AQFD,Chadwell Heath                  ,7061,4417,26,316,2644
02AQFE,Eastbrook                       ,7243,4550,30,410,2693
02AQFF,Eastbury                        ,4642,2605,21,302,2037
02AQFG,Fanshawe                        ,6731,3709,38,454,3022
02AQFH,Gascoigne                       ,6285,3641,40,652,2644
02AQFJ,Goresbrook                      ,5281,3147,25,407,2134
02AQFK,Heath                           ,7178,4190,34,479,2988
02AQFL,Longbridge                      ,6981,4177,17,269,2804
02AQFM,Manor                           ,4736,2504,25,285,2232
02AQFN,Marks Gate                      ,2041,1097,12,145,944
02AQFP,Parsloes                        ,5240,2894,20,328,2346
02AQFQ,River                           ,5099,3385,30,341,1714
02AQFR,Thames                          ,4449,2458,35,369,1991
02AQFS,Triptons                        ,7101,4036,30,430,3065
02AQFT,Valence                         ,6960,3710,26,460,3250
02AQFU,Village                         ,7570,4496,39,534,3074
02AQSS,Shipping                        ,0,0,0,0,0
02ARFA,Arkley                          ,12420,7567,69,610,4853
02ARFB,Brunswick Park                  ,11207,6916,57,506,4291
02ARFC,Burnt Oak                       ,10076,5977,72,743,4099
02ARFD,Childs Hill                     ,10611,6332,53,647,4279
02ARFE,Colindale                       ,11565,7414,109,837,4151
02ARFF,East Barnet                     ,11472,7555,56,508,3917
02ARFG,East Finchley                   ,12351,7799,71,805,4552
02ARFH,Edgware                         ,12136,7430,36,554,4706
02ARFJ,Finchley                        ,11576,7255,54,531,4321
02ARFK,Friern Barnet                   ,11771,7286,68,532,4485
02ARFL,Garden Suburb                   ,11543,6752,41,335,4791
02ARFM,Golders Green                   ,11754,6809,67,678,4945
02ARFN,Hadley                          ,13839,8998,47,537,4841
02ARFP,Hale                            ,10592,6626,48,453,3966
02ARFQ,Hendon                          ,12574,7406,70,636,5168
02ARFR,Mill Hill                       ,12192,7495,50,447,4697
02ARFS,St.Pauls                        ,11630,7301,62,618,4329
02ARFT,Totteridge                      ,12464,7486,41,456,4978
02ARFU,West Hendon                     ,11693,7271,72,681,4422
02ARFW,Woodhouse                       ,12784,8110,57,737,4674
02ARSS,Shipping                        ,0,0,0,0,0
02ASFA,Barnehurst                      ,4997,3324,20,182,1673
02ASFB,Barnehurst North                ,3223,2117,11,94,1106
02ASFC,Belvedere                       ,9845,6674,45,589,3171
02ASFD,Blackfen                        ,5381,3590,15,250,1791
02ASFE,Blendon and Penhill             ,7685,4978,29,268,2707
02ASFF,Bostall                         ,7645,4659,41,271,2986
02ASFG,Brampton                        ,8154,5029,51,281,3125
02ASFH,Christchurch                    ,8095,5139,35,344,2956
02ASFJ,Cray                            ,4336,2607,27,265,1729
02ASFK,Crayford                        ,9103,5955,47,502,3148
02ASFL,Danson                          ,7496,4764,32,343,2732
02ASFM,East Wickham                    ,8718,5464,37,417,3254
02ASFN,Erith                           ,8162,5116,50,596,3046
02ASFP,Falconwood                      ,2804,1807,10,131,997
02ASFQ,Lamorbey                        ,7992,5305,26,307,2687
02ASFR,North End                       ,8535,5500,49,593,3035
02ASFS,Northumberland Heath            ,8102,5175,38,365,2927
02ASFT,St. Mary's                      ,8778,5624,38,289,3154
02ASFU,St. Michael's                   ,8016,5280,38,323,2736
02ASFW,Sidcup East                     ,8874,5419,53,295,3455
02ASFX,Sidcup West                     ,8040,4994,23,272,3046
02ASFY,Thamesmead East                 ,10154,7112,107,1063,3042
02ASFZ,Upton                           ,8068,5063,28,399,3005
02ASSS,Shipping                        ,0,0,0,0,0
02ATFA,Alperton                        ,6674,4613,47,579,2061
02ATFB,Barham                          ,8951,5772,72,665,3179
02ATFC,Barnhill                        ,5603,3323,37,222,2280
02ATFD,Brentwater                      ,6780,4435,50,518,2345
02ATFE,Brondesbury Park                ,6907,4171,69,594,2736
02ATFF,Carlton                         ,4796,2883,56,621,1913
02ATFG,Chamberlayne                    ,6213,3894,43,446,2319
02ATFH,Church End                      ,5019,3363,42,513,1656
02ATFJ,Cricklewood                     ,6633,4236,47,627,2397
02ATFK,Fryent                          ,6392,4024,49,408,2368
02ATFL,Gladstone                       ,6574,4322,57,454,2252
02ATFM,Harlesden                       ,4761,3261,44,590,1500
02ATFN,Kensal Rise                     ,4956,3477,33,578,1479
02ATFP,Kenton                          ,7152,4421,46,253,2731
02ATFQ,Kilburn                         ,6423,4384,73,684,2039
02ATFR,Kingsbury                       ,6438,3914,37,376,2524
02ATFS,Manor                           ,5789,3907,48,546,1882
02ATFT,Mapesbury                       ,6134,4125,58,607,2009
02ATFU,Preston                         ,9823,6272,58,623,3551
02ATFW,Queensbury                      ,6659,4203,39,388,2456
02ATFX,Queens Park                     ,4795,3293,40,460,1502
02ATFY,Roe Green                       ,5424,3564,36,354,1860
02ATFZ,Roundwood                       ,5108,3245,54,665,1863
02ATGA,St. Andrew's                    ,5054,3130,66,592,1924
02ATGB,St. Raphael's                   ,7611,4715,94,1065,2896
02ATGC,Stonebridge                     ,4501,2960,53,557,1541
02ATGD,Sudbury                         ,6214,3926,32,380,2288
02ATGE,Sudbury Court                   ,5541,3833,45,306,1708
02ATGF,Tokyngton                       ,8359,5577,60,639,2782
02ATGG,Wembley Central                 ,6095,4036,53,642,2059
02ATGH,Willesdon Green                 ,6055,3940,55,632,2115
02ATSS,Shipping                        ,0,0,0,0,0
02AUFA,Anerley                         ,9068,6248,58,692,2820
02AUFB,Bickley                         ,10986,6602,29,403,4384
02AUFC,Biggin Hill                     ,8755,6461,29,290,2294
02AUFD,Bromley Common and Keston       ,12886,7818,44,593,5068
02AUFE,Chelsfield and Goddington       ,12169,7682,32,414,4487
02AUFF,Chislehurst                     ,13162,7869,43,455,5293
02AUFG,Clock House                     ,8401,5758,25,416,2643
02AUFH,Copers Cope                     ,6534,4329,19,307,2205
02AUFJ,Crofton                         ,8465,5219,23,218,3246
02AUFK,Darwin                          ,3519,2238,3,139,1281
02AUFL,Eden Park                       ,7459,4707,33,258,2752
02AUFM,Farnborough                     ,7632,4665,28,246,2967
02AUFN,Hayes                           ,11651,7028,38,404,4623
02AUFP,Kelsey Park                     ,7240,4176,13,222,3064
02AUFQ,Lawrie Park and Kent House      ,7579,4972,29,458,2607
02AUFR,Martins Hill and Town           ,7686,5125,19,371,2561
02AUFS,Mottingham                      ,7663,4225,37,436,3438
02AUFT,Orpington Central               ,7379,4560,37,464,2819
02AUFU,Penge                           ,7967,5479,38,705,2488
02AUFW,Petts Wood and Knoll            ,12416,7700,28,392,4716
02AUFX,Plaistow and Sundridge          ,11973,7396,49,523,4577
02AUFY,St. Mary Cray                   ,11540,7253,58,622,4287
02AUFZ,St. Paul's Cray                 ,12403,7188,43,788,5215
02AUGA,Shortlands                      ,8094,4853,28,244,3241
02AUGB,West Wickham North              ,7398,4537,14,221,2861
02AUGC,West Wickham South              ,7999,4811,15,210,3188
02AUSS,Shipping                        ,0,0,0,0,0
02AWFA,Addiscombe                      ,11173,7693,48,600,3480
02AWFB,Ashburton                       ,7040,4406,35,357,2634
02AWFC,Bensham Manor                   ,10860,7354,82,828,3506
02AWFD,Beulah                          ,6956,4611,40,451,2345
02AWFE,Broad Green                     ,9750,6425,65,806,3325
02AWFF,Coulsdon East                   ,9977,6359,35,340,3618
02AWFG,Croham                          ,10774,7418,36,449,3356
02AWFH,Fairfield                       ,13065,8567,71,666,4498
02AWFJ,Fieldway                        ,6613,4271,44,720,2342
02AWFK,Heathfield                      ,9674,6698,33,359,2976
02AWFL,Kenley                          ,7158,4698,24,264,2460
02AWFM,Monks Orchard                   ,8416,5413,29,324,3003
02AWFN,New Addington                   ,8985,5575,30,632,3410
02AWFP,Norbury                         ,10253,6396,46,636,3857
02AWFQ,Purley                          ,11751,7725,50,424,4026
02AWFR,Rylands                         ,6330,4338,36,373,1992
02AWFS,Sanderstead                     ,7787,4747,16,218,3040
02AWFT,Selsdon                         ,7878,5340,29,204,2538
02AWFU,South Norwood                   ,10194,7379,61,676,2815
02AWFW,Spring Park                     ,7977,4833,45,348,3144
02AWFX,Thornton Heath                  ,10547,7312,79,776,3235
02AWFY,Upper Norwood                   ,6792,4465,50,424,2327
02AWFZ,Waddon                          ,10902,7008,47,634,3894
02AWGA,West Thornton                   ,10774,7412,87,821,3362
02AWGB,Whitehorse Manor                ,10512,7187,81,806,3325
02AWGC,Woodcote and Coulsdon West      ,11500,7390,35,359,4110
02AWGD,Woodside                        ,7051,5219,36,420,1832
02AWSS,Shipping                        ,0,0,0,0,0
02AXFA,Argyle                          ,10383,6514,58,656,3869
02AXFB,Costons                         ,8423,5454,52,523,2969
02AXFC,Dormers Wells                   ,9368,5518,74,789,3850
02AXFD,Ealing Common                   ,10691,7140,59,768,3551
02AXFE,Elthorne                        ,9904,6542,41,715,3362
02AXFF,Glebe                           ,9215,6055,97,977,3160
02AXFG,Hanger Lane                     ,9897,6114,50,507,3783
02AXFH,Heathfield                      ,10167,6435,92,1034,3732
02AXFJ,Hobbayne                        ,8624,5700,43,634,2924
02AXFK,Mandeville                      ,8475,5197,26,473,3278
