"Zone Code","UV0280002","UV0280012"
"00ACGD0029",177,10
"00ACGD0030",179,6
"00ACGD0031",165,6
"00ACGD0032",170,4
"00ACGD0033",105,9
"00ACGD0034",121,5
"00ACGD0035",76,10
"00ACGD0036",166,7
"00ACGD0037",143,3
"00ACGD0038",164,6
"00ACGD0039",171,8
"00ACGD0040",194,9
"00ACGD0041",191,11
"00ACGD0042",191,10
"00ACGD0043",103,8
"00ACGD0044",121,10
"00ACGD0045",128,4
"00ACGD0046",192,5
"00ACGD0047",181,7
"00ACGD0048",88,3
"00ACGD0049",129,5
"00ACGD0050",211,11
"00ACGD0051",211,12
"00ACGD0052",181,9
"00ACGE0001",200,10
"00ACGE0002",59,3
"00ACGE0003",138,9
"00ACGE0004",193,6
"00ACGE0005",181,4
"00ACGE0006",165,7
"00ACGE0007",190,3
"00ACGE0008",179,0
"00ACGE0009",198,7
"00ACGE0010",178,7
"00ACGE0011",172,7
"00ACGE0012",137,18
"00ACGE0013",185,4
"00ACGE0014",172,7
"00ACGE0015",193,3
"00ACGE0016",92,8
"00ACGE0017",182,10
"00ACGE0018",209,10
"00ACGE0019",128,8
"00ACGE0020",143,8
"00ACGE0021",101,13
"00ACGE0022",108,10
"00ACGE0023",175,8
"00ACGE0024",176,4
"00ACGE0025",121,18
"00ACGE0026",141,4
"00ACGE0027",192,5
"00ACGE0028",103,7
"00ACGE0029",151,7
"00ACGE0030",172,4
"00ACGE0031",172,3
"00ACGE0032",145,15
"00ACGE0033",193,5
"00ACGE0034",175,13
"00ACGE0035",153,10
"00ACGE0036",165,6
"00ACGE0037",160,16
"00ACGE0038",184,8
"00ACGE0039",175,8
"00ACGE0040",140,8
"00ACGE0041",129,8
"00ACGE0042",159,12
"00ACGE0043",185,9
"00ACGE0044",125,12
"00ACGF0001",111,3
"00ACGF0002",136,5
"00ACGF0003",221,9
"00ACGF0004",115,3
"00ACGF0005",164,8
"00ACGF0006",120,9
"00ACGF0007",155,7
"00ACGF0008",159,10
"00ACGF0009",162,13
"00ACGF0010",153,9
"00ACGF0011",133,12
"00ACGF0012",224,3
"00ACGF0013",142,4
"00ACGF0014",169,0
"00ACGF0015",75,8
"00ACGF0016",194,4
"00ACGF0017",173,3
"00ACGF0018",164,4
"00ACGF0019",142,0
"00ACGF0020",154,0
"00ACGF0021",175,7
"00ACGF0022",182,6
"00ACGF0023",160,3
"00ACGF0024",181,7
"00ACGF0025",117,8
"00ACGF0026",93,5
"00ACGF0027",177,11
"00ACGF0028",159,4
"00ACGF0029",85,4
"00ACGF0030",187,9
"00ACGF0031",176,12
"00ACGF0032",165,9
"00ACGF0033",99,0
"00ACGF0034",126,3
"00ACGF0035",100,0
"00ACGF0036",110,8
"00ACGF0037",195,5
"00ACGF0038",149,7
"00ACGF0039",191,10
"00ACGF0040",175,6
"00ACGF0041",144,14
"00ACGF0042",176,6
"00ACGF0043",154,6
"00ACGF0044",128,3
"00ACGF0045",128,7
"00ACGF0046",181,4
"00ACGG0001",87,9
"00ACGG0002",203,6
"00ACGG0003",168,5
"00ACGG0004",176,4
"00ACGG0005",167,8
"00ACGG0006",149,6
"00ACGG0007",150,5
"00ACGG0008",148,8
"00ACGG0009",170,9
"00ACGG0010",147,17
"00ACGG0011",123,3
"00ACGG0012",147,5
"00ACGG0013",137,7
"00ACGG0014",149,3
"00ACGG0015",150,9
"00ACGG0016",153,5
"00ACGG0017",165,3
"00ACGG0018",135,5
"00ACGG0019",175,9
"00ACGG0020",147,3
"00ACGG0021",161,14
"00ACGG0022",118,9
"00ACGG0023",161,10
"00ACGG0024",124,10
"00ACGG0025",142,5
"00ACGG0026",140,3
"00ACGG0027",135,0
"00ACGG0028",72,3
"00ACGG0029",143,5
"00ACGG0030",52,4
"00ACGG0031",128,3
"00ACGG0032",163,3
"00ACGG0033",145,4
"00ACGG0034",144,4
"00ACGG0035",156,3
"00ACGG0036",163,0
"00ACGG0037",223,9
"00ACGG0038",166,7
"00ACGG0039",159,8
"00ACGG0040",128,4
"00ACGG0041",143,4
"00ACGG0042",179,3
"00ACGG0043",146,4
"00ACGG0044",165,8
"00ACGG0045",181,7
"00ACGG0046",169,6
"00ACGG0047",155,4
"00ACGG0048",185,5
"00ACGG0049",120,7
